City,Year,Brand,Model,Fuel_Type,Transmission,KM_Driven,Owner,EMI_Price,Price
Mumbai,2015,Maruti,Ertiga,CNG,Manual,641000,1st owner,"EMI ₹21,305/m","₹21,305"
Mumbai,2015,Hyundai,Creta,Petrol,Manual,577000,2nd owner,"EMI ₹12,839/m","₹12,839"
Mumbai,2014,Honda,Brio,Petrol,Auto,333000,1st owner,"EMI ₹8,777/m","₹8,777"
Mumbai,2022,Tata,Tiago,CNG,Manual,587000,1st owner,"EMI ₹11,479/m","₹11,479"
Hyderabad,2018,Maruti,Swift,Petrol,Manual,527000,1st owner,"EMI ₹10,310/m","₹10,310"
Hyderabad,2020,Maruti,New,Petrol,Manual,492000,1st owner,"EMI ₹9,610/m","₹9,610"
Hyderabad,2015,Hyundai,Eon,Petrol,Manual,254999,2nd owner,"EMI ₹5,672/m","₹5,672"
Hyderabad,2012,Hyundai,i20,Petrol,Manual,274000,3rd owner,"EMI ₹12,902/m","₹12,902"
Hyderabad,2013,Maruti,Swift,Petrol,Manual,324000,2nd owner,"EMI ₹10,765/m","₹10,765"
Hyderabad,2015,Nissan,Terrano,Petrol,Manual,470000,1st owner,"EMI ₹10,454/m","₹10,454"
Hyderabad,2017,Mahindra,Kuv100,Diesel,Manual,313000,1st owner,"EMI ₹6,111/m","₹6,111"
Hyderabad,2013,Honda,Amaze,CNG,Manual,332000,3rd owner,"EMI ₹29,479/m","₹29,479"
Hyderabad,2018,Nissan,Sunny,Petrol,Auto,584000,1st owner,"EMI ₹11,420/m","₹11,420"
Hyderabad,2012,Maruti,Ritz,Petrol,Manual,250999,1st owner,"EMI ₹11,826/m","₹11,826"
Hyderabad,2020,Tata,ALTROZ,Petrol,Manual,505999,1st owner,"EMI ₹9,901/m","₹9,901"
Hyderabad,2023,Maruti,Baleno,Petrol,Manual,778000,1st owner,"EMI ₹15,207/m","₹15,207"
Hyderabad,2022,Hyundai,GRAND,Petrol,Manual,537000,1st owner,"EMI ₹10,506/m","₹10,506"
Hyderabad,2019,Hyundai,NEW,Petrol,Auto,445000,1st owner,"EMI ₹8,695/m","₹8,695"
Hyderabad,2016,Maruti,Baleno,Petrol,Manual,451999,1st owner,"EMI ₹8,828/m","₹8,828"
Hyderabad,2019,Maruti,Celerio,Petrol,Manual,424000,1st owner,"EMI ₹8,284/m","₹8,284"
Hyderabad,2017,Tata,Tiago,Petrol,Manual,423000,1st owner,"EMI ₹8,262/m","₹8,262"
