City,Year,Brand,Model,Fuel_Type,Transmission,KM_Driven,Owner,EMI_Price,Price,KM_Representation,Car_Age,Price_per_KM,Price_Category
Mumbai,2018,Maruti,Ciaz,Petrol,Manual,552000.0,1St Owner,10783.0,10783.0,L,7,0.02,Budget
Mumbai,2020,Hyundai,Grand,Petrol,Auto,634000.0,1St Owner,12388.0,12388.0,L,5,0.02,Budget
Mumbai,2016,Volkswagen,Ameo,Petrol,Manual,334000.0,1St Owner,6533.0,6533.0,L,9,0.02,Budget
Mumbai,2015,Hyundai,Elite,Petrol,Manual,378000.0,1St Owner,8399.0,8399.0,L,10,0.02,Budget
Mumbai,2018,Hyundai,Creta,Petrol,Manual,733000.0,1St Owner,14335.0,14335.0,L,7,0.02,Budget
Mumbai,2015,Maruti,Ertiga,Cng,Manual,641000.0,1St Owner,21305.0,21305.0,L,10,0.03,Budget
Mumbai,2015,Hyundai,Creta,Petrol,Manual,577000.0,2Nd Owner,12839.0,12839.0,L,10,0.02,Budget
Mumbai,2014,Honda,Brio,Petrol,Auto,333000.0,1St Owner,8777.0,8777.0,L,11,0.03,Budget
Mumbai,2022,Tata,Tiago,Cng,Manual,587000.0,1St Owner,11479.0,11479.0,L,3,0.02,Budget
Hyderabad,2018,Maruti,Swift,Petrol,Manual,527000.0,1St Owner,10310.0,10310.0,L,7,0.02,Budget
Hyderabad,2020,Maruti,New,Petrol,Manual,492000.0,1St Owner,9610.0,9610.0,L,5,0.02,Budget
Hyderabad,2015,Hyundai,Eon,Petrol,Manual,254999.0,2Nd Owner,5672.0,5672.0,L,10,0.02,Budget
Hyderabad,2012,Hyundai,I20,Petrol,Manual,274000.0,3Rd Owner,12902.0,12902.0,L,13,0.05,Budget
Hyderabad,2013,Maruti,Swift,Petrol,Manual,324000.0,2Nd Owner,10765.0,10765.0,L,12,0.03,Budget
Hyderabad,2015,Nissan,Terrano,Petrol,Manual,470000.0,1St Owner,10454.0,10454.0,L,10,0.02,Budget
Hyderabad,2017,Mahindra,Kuv100,Diesel,Manual,313000.0,1St Owner,6111.0,6111.0,L,8,0.02,Budget
Hyderabad,2013,Honda,Amaze,Cng,Manual,332000.0,3Rd Owner,29479.0,29479.0,L,12,0.09,Budget
Hyderabad,2018,Nissan,Sunny,Petrol,Auto,584000.0,1St Owner,11420.0,11420.0,L,7,0.02,Budget
Hyderabad,2012,Maruti,Ritz,Petrol,Manual,250999.0,1St Owner,11826.0,11826.0,L,13,0.05,Budget
Hyderabad,2020,Tata,Altroz,Petrol,Manual,505999.0,1St Owner,9901.0,9901.0,L,5,0.02,Budget
Hyderabad,2023,Maruti,Baleno,Petrol,Manual,778000.0,1St Owner,15207.0,15207.0,L,2,0.02,Budget
Hyderabad,2022,Hyundai,Grand,Petrol,Manual,537000.0,1St Owner,10506.0,10506.0,L,3,0.02,Budget
Hyderabad,2019,Hyundai,New,Petrol,Auto,445000.0,1St Owner,8695.0,8695.0,L,6,0.02,Budget
Hyderabad,2016,Maruti,Baleno,Petrol,Manual,451999.0,1St Owner,8828.0,8828.0,L,9,0.02,Budget
Hyderabad,2019,Maruti,Celerio,Petrol,Manual,424000.0,1St Owner,8284.0,8284.0,L,6,0.02,Budget
Hyderabad,2017,Tata,Tiago,Petrol,Manual,423000.0,1St Owner,8262.0,8262.0,L,8,0.02,Budget
